Designator,Mid X,Mid Y,Rotation,Layer
R14,6.45579,-72.042256,90.0,top
R15,21.025,-46.4,0.0,top
R16,21.0,-48.0,0.0,top
R2,-0.2975,11.5775,270.0,top
R3,-1.8475,11.5775,270.0,top
R4,-6.064211,-71.932256,90.0,top
R5,-4.8,-72.009999,90.0,top
R6,-3.55421,-71.972256,90.0,top
R7,-2.2,-71.990001,90.0,top
R8,-1.024211,-71.972255,90.0,top
R9,0.3,-71.909999,90.0,top
RK1,68.69,-27.8,0.0,bottom
RK10,65.523899,-20.2616,180.0,bottom
RK2,68.613899,-26.5516,0.0,bottom
RK3,68.630001,-25.3,0.0,bottom
RK4,68.690001,-24.089999,0.0,bottom
RK5,68.653899,-22.7716,0.0,bottom
RK6,68.760001,-21.540001,0.0,bottom
RK7,68.77,-20.300001,0.0,bottom
RK8,68.77,-18.98,0.0,bottom
RK9,65.503899,-21.5816,180.0,bottom
U1,-73.53,1.95,180.0,top
U2,72.28,0.12,0.0,top
U3,1.97,-33.299999,270.0,bottom
U4,-0.76,7.6025,0.0,top
